"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","atkij101","Atkins","James","L","R","BOS","P"
"2","battm101","Batts","Matt","R","R","BOS","C"
"3","combm101","Combs","Merl","L","R","BOS","PH"
"4","dimad101","DiMaggio","Dom","R","R","BOS","OF"
"5","dobsj101","Dobson","Joe","R","R","BOS","P"
"6","doerb101","Doerr","Bobby","R","R","BOS","2B"
"7","dropw101","Dropo","Walt","R","R","BOS","1B"
"8","ferrd101","Ferriss","Dave","L","R","BOS","P"
"9","gillb102","Gillespie","Bob","R","R","BOS","P"
"10","goodb101","Goodman","Billy","L","R","BOS","OF"
"11","hatff101","Hatfield","Fred","L","R","BOS","3B"
"12","johne105","Johnson","Earl","L","L","BOS","P"
"13","keltk101","Keltner","Ken","R","R","BOS","3B"
"14","kinde101","Kinder","Ellis","R","R","BOS","P"
"15","littd102","Littlefield","Dick","L","L","BOS","P"
"16","marcp101","Marchildon","Phil","R","R","BOS","P"
"17","mastw101","Masterson","Walt","R","R","BOS","P"
"18","maxwc101","Maxwell","Charlie","L","L","BOS","OF"
"19","mcdem102","McDermott","Mickey","L","L","BOS","P"
"20","mcdoj104","McDonald","Jim","R","R","BOS","P"
"21","muelg101","Mueller","Gordie","R","R","BOS","P"
"22","nixow101","Nixon","Willard","L","R","BOS","P"
"23","obrit103","O'Brien","Tommy","R","R","BOS","OF"
"24","papaa101","Papai","Al","R","R","BOS","P"
"25","parnm101","Parnell","Mel","L","L","BOS","P"
"26","peskj101","Pesky","Johnny","L","R","BOS","3B"
"27","pierj102","Piersall","Jim","R","R","BOS","OF"
"28","quinf104","Quinn","Frank","R","R","BOS","P"
"29","rosab101","Rosar","Buddy","R","R","BOS","C"
"30","schac101","Schanz","Charley","R","R","BOS","P"
"31","scheb102","Scherbarth","Bob","R","R","BOS","C"
"32","stepv101","Stephens","Vern","R","R","BOS","SS"
"33","stobc101","Stobbs","Chuck","L","L","BOS","P"
"34","stril101","Stringer","Lou","R","R","BOS","3B"
"35","suchj101","Suchecki","Jim","R","R","BOS","P"
"36","taylh101","Taylor","Harry","R","R","BOS","P"
"37","tebbb101","Tebbetts","Birdie","R","R","BOS","C"
"38","vollc101","Vollmer","Clyde","R","R","BOS","OF"
"39","willt103","Williams","Ted","L","R","BOS","OF"
"40","wrigt101","Wright","Tom","L","R","BOS","OF"
"41","zaria101","Zarilla","Al","L","R","BOS","OF"
"42","abrac101","Abrams","Cal","L","L","BRO","OF"
"43","bankd101","Bankhead","Dan","R","R","BRO","P"
"44","bantj101","Banta","Jack","L","R","BRO","P"
"45","barnr103","Barney","Rex","R","R","BRO","P"
"46","belaw101","Belardi","Wayne","L","L","BRO","1B"
"47","branr103","Branca","Ralph","R","R","BRO","P"
"48","browt103","Brown","Tommy","R","R","BRO","OF"
"49","campr102","Campanella","Roy","R","R","BRO","C"
"50","cox-b101","Cox","Billy","R","R","BRO","3B"
"51","edwab101","Edwards","Bruce","R","R","BRO","C"
"52","eppea101","Epperly","Al","L","R","BRO","P"
"53","erskc101","Erskine","Carl","R","R","BRO","P"
"54","furic101","Furillo","Carl","R","R","BRO","OF"
"55","hattj101","Hatten","Joe","R","L","BRO","P"
"56","hermg101","Hermanski","Gene","L","R","BRO","OF"
"57","hodgg101","Hodges","Gil","R","R","BRO","1B"
"58","jorgs101","Jorgensen","Spider","L","R","BRO","3B"
"59","labic101","Labine","Clem","R","R","BRO","P"
"60","landj101","Landrum","Joe","R","R","BRO","P"
"61","lembs101","Lembo","Steve","R","R","BRO","C"
"62","loesb101","Loes","Billy","R","R","BRO","P"
"63","mallm101","Mallette","Mal","L","L","BRO","P"
"64","mcglp101","McGlothin","Pat","L","R","BRO","P"
"65","mikse101","Miksis","Eddie","R","R","BRO","2B"
"66","morgb102","Morgan","Bobby","R","R","BRO","3B"
"67","newcd101","Newcombe","Don","L","R","BRO","P"
"68","palie101","Palica","Erv","R","R","BRO","P"
"69","podbb101","Podbielan","Bud","R","R","BRO","P"
"70","ramsw101","Ramsdell","Willie","R","R","BRO","P"
"71","reesp101","Reese","Pee Wee","R","R","BRO","SS"
"72","robij103","Robinson","Jackie","R","R","BRO","2B"
"73","roe-p101","Roe","Preacher","R","L","BRO","P"
"74","romaj102","Romano","Jim","R","R","BRO","P"
"75","russj102","Russell","Jim","B","R","BRO","OF"
"76","shubg101","Shuba","George","L","R","BRO","OF"
